t_mono,t_wall,x,y,z,qx,qy,qz,qw
0.40119820833336917,1765050395.903695,-0.008492947,1.6011331,-0.11104666,-0.18179293,0.087686285,0.06842275,0.9770265
0.4241762083333356,1765050395.9266732,-0.012876798,1.5979899,-0.110860705,-0.19280873,0.10948685,0.072476834,0.9724117
0.4442399166666746,1765050395.9467368,-0.01696062,1.5948799,-0.110665634,-0.20363817,0.13001925,0.075890504,0.9674022
0.46158741666670267,1765050395.9640844,-0.02063017,1.5919487,-0.110333994,-0.2135724,0.1486979,0.07898664,0.96230805
0.4789442083333597,1765050395.9814413,-0.024347305,1.588995,-0.109949075,-0.2232415,0.16762932,0.081791714,0.95675164
0.49553720833336,1765050395.9980342,-0.027884582,1.5862879,-0.10957956,-0.2319849,0.18533881,0.08385378,0.95121026
0.5129330416666562,1765050396.01543,-0.0315032,1.5835415,-0.109142326,-0.24081331,0.20327432,0.08556545,0.9451809
0.530294291666678,1765050396.0327911,-0.034949113,1.5808198,-0.10858536,-0.24952488,0.22070268,0.0873649,0.9388264
0.5477721666666753,1765050396.0502691,-0.038249016,1.5780929,-0.10792502,-0.25773063,0.23766105,0.08949553,0.932246
0.5656519166666953,1765050396.0681489,-0.04142952,1.5755055,-0.10726089,-0.26501226,0.2537216,0.091501005,0.9257545
0.5914479166666524,1765050396.0939448,-0.04555273,1.5723814,-0.10637857,-0.2737454,0.27371922,0.09355614,0.91727227
0.6136627916666839,1765050396.1161597,-0.04862251,1.5702066,-0.105646364,-0.28006458,0.28836587,0.095320165,0.9106717
0.6314971666666906,1765050396.133994,-0.050786495,1.5688218,-0.105085865,-0.28406972,0.29853338,0.0966215,0.90600574
0.6490733333333196,1765050396.1515703,-0.052714348,1.5677872,-0.104625314,-0.28685954,0.30711922,0.09751616,0.90215296
0.6668999583333743,1765050396.1693969,-0.054472733,1.5669873,-0.10424426,-0.2888016,0.31451258,0.09819695,0.8989064
0.6843640416666972,1765050396.186861,-0.055955984,1.5663245,-0.103860855,-0.29045478,0.32070178,0.09900405,0.896094
0.702322416666675,1765050396.2048194,-0.057217885,1.5656985,-0.10341253,-0.2921467,0.3263354,0.10022948,0.89336973
0.7219453750000184,1765050396.2244422,-0.05836525,1.565088,-0.10291595,-0.29381236,0.33188102,0.101552606,0.89062697
0.7393226249999998,1765050396.2418196,-0.05939102,1.5646418,-0.10248017,-0.29475802,0.3363577,0.10241827,0.8885334
0.7612168333333216,1765050396.2637138,-0.060670853,1.5641539,-0.10194848,-0.29539585,0.3415226,0.10327933,0.88624877
0.7785942083333453,1765050396.2810912,-0.061493684,1.563758,-0.10154003,-0.29596755,0.34522203,0.104000315,0.88453877
0.797773750000033,1765050396.3002708,-0.062187098,1.5633042,-0.101045445,-0.29694137,0.34889197,0.10506755,0.8826443
0.8156885416667023,1765050396.3181856,-0.06269532,1.5628985,-0.10058197,-0.29789653,0.35210347,0.10623085,0.8809062
0.8324318749999975,1765050396.3349288,-0.06311798,1.5625904,-0.10020392,-0.29852375,0.35504162,0.10735598,0.8793768
0.8498200000000224,1765050396.3523169,-0.06355601,1.5623617,-0.09991593,-0.29885483,0.3580101,0.10852513,0.87791616
0.867346791666705,1765050396.3698437,-0.06401014,1.5621917,-0.09973469,-0.29903296,0.36085764,0.109580636,0.87655747
0.8847396666666896,1765050396.3872366,-0.06445789,1.5620503,-0.09962182,-0.2992404,0.36361778,0.11048702,0.8752313
0.9029685416666666,1765050396.4054656,-0.064926624,1.5619116,-0.09954201,-0.29945585,0.36651227,0.1112809,0.8738486
0.927565583333319,1765050396.4300625,-0.06559696,1.5617127,-0.09952487,-0.2997206,0.3704345,0.111919016,0.8720206
0.9449303333333319,1765050396.4474273,-0.06603098,1.5615327,-0.09952324,-0.3000375,0.3731178,0.11212185,0.8707406
0.9635952916667065,1765050396.4660923,-0.06642151,1.561269,-0.09949209,-0.30072007,0.3759051,0.11228557,0.86928403
0.9809868333333611,1765050396.4834838,-0.066764355,1.5609593,-0.09944819,-0.30167392,0.37845036,0.11241825,0.86783075
0.999081791666697,1765050396.5015788,-0.06713581,1.5606244,-0.099393964,-0.3027698,0.38106403,0.112339176,0.86631435
1.0164521250000007,1765050396.518949,-0.06752539,1.5603147,-0.09935163,-0.30356586,0.38358033,0.112169825,0.8649461
1.0339850833333344,1765050396.536482,-0.067908764,1.5600145,-0.09936633,-0.304043,0.38619122,0.11203876,0.86363274
1.0514630416666932,1765050396.55396,-0.06825352,1.5597242,-0.09940166,-0.3043081,0.38876918,0.111932114,0.8623956
1.068927791666681,1765050396.5714247,-0.068533994,1.5594299,-0.09939563,-0.30463228,0.3911238,0.11194075,0.8612145
1.0975422500000036,1765050396.6000392,-0.06877518,1.55897,-0.09929133,-0.3054034,0.39423427,0.1123932,0.8594625
1.1154109583333707,1765050396.617908,-0.06883507,1.5587662,-0.099225834,-0.3056439,0.39586288,0.11292972,0.8585576
1.1325171249999926,1765050396.635014,-0.068888955,1.5586644,-0.09920999,-0.30553582,0.39726657,0.113364525,0.8578901
1.1635528333333696,1765050396.6660497,-0.06896114,1.5587195,-0.09941742,-0.30432585,0.399635,0.113722906,0.8571725
1.181098916666656,1765050396.683596,-0.06897974,1.5588553,-0.099592775,-0.3034316,0.4008856,0.11357771,0.8569248
1.1988059166666858,1765050396.7013028,-0.068958856,1.5590574,-0.099755295,-0.30263644,0.40199235,0.113138266,0.85674554
1.2161994583333353,1765050396.7186964,-0.068873405,1.5593132,-0.099896304,-0.30195773,0.4028951,0.11267624,0.85662186
1.233713875000035,1765050396.7362108,-0.06866503,1.5596672,-0.10001875,-0.3013108,0.40357465,0.11229156,0.8565803
1.2603300416666912,1765050396.762827,-0.06810236,1.5603395,-0.1000833,-0.30023426,0.40421858,0.11184168,0.85671353
1.2777502916666776,1765050396.7802472,-0.06757784,1.5608507,-0.09999986,-0.29930845,0.40445802,0.11163002,0.8569521
1.295021625000004,1765050396.7975185,-0.06694279,1.5614213,-0.09980453,-0.29816142,0.40462336,0.11147871,0.8572934
1.3122994583333707,1765050396.8147964,-0.066251755,1.562083,-0.09953798,-0.2965832,0.40485302,0.11135419,0.85774857
1.3288635000000113,1765050396.8313603,-0.06556902,1.5628114,-0.09926958,-0.29437646,0.40517402,0.11118302,0.8583791
1.3455761666666604,1765050396.848073,-0.06484413,1.5635976,-0.098983616,-0.29163635,0.4055749,0.11098905,0.85914993
1.3632057083333393,1765050396.8657026,-0.063996315,1.5644317,-0.09860439,-0.28865573,0.4060627,0.110908926,0.85993606
1.3805901666667069,1765050396.8830872,-0.06305819,1.5652114,-0.09809462,-0.28615454,0.40652502,0.11086358,0.8605592
1.3980547916666524,1765050396.9005518,-0.062019635,1.5659435,-0.097449325,-0.28426227,0.40681535,0.11077136,0.8610609
1.4154218749999927,1765050396.917919,-0.06098461,1.5666665,-0.09676667,-0.2825953,0.40699267,0.11061777,0.86154544
1.4394569583333237,1765050396.941954,-0.059712887,1.5678042,-0.0959744,-0.2793177,0.407378,0.11011258,0.8624963
1.4583834166666634,1765050396.9608803,-0.05883646,1.5688094,-0.095458366,-0.27602762,0.40771055,0.10960356,0.8634627
1.4758616249999932,1765050396.9783585,-0.058025837,1.5697122,-0.09496618,-0.2731334,0.40782014,0.1093704,0.86436045
1.4940297916666623,1765050396.9965267,-0.05719185,1.5705925,-0.09441288,-0.27035487,0.40782002,0.10936719,0.86523396
1.5115210833333208,1765050397.014018,-0.05647555,1.5714235,-0.09387756,-0.26749727,0.4080588,0.109443106,0.8659996
1.5288552083333684,1765050397.0313523,-0.05587864,1.572248,-0.09338643,-0.26423934,0.40864033,0.1094668,0.86672235
1.546376291666661,1765050397.0488732,-0.055324554,1.5730247,-0.09289709,-0.26112175,0.40928122,0.109337,0.8673809
1.564074875000017,1765050397.066572,-0.054739475,1.5736572,-0.09234695,-0.25886545,0.4097707,0.10916953,0.8678471
1.5817561666667075,1765050397.084253,-0.05416994,1.5741612,-0.09178504,-0.2571546,0.41020328,0.109090924,0.8681612
1.6014678750000257,1765050397.1039648,-0.053668022,1.5747106,-0.09125922,-0.25491723,0.4109144,0.10886238,0.8685134
1.6307332083333677,1765050397.1332302,-0.053128242,1.575515,-0.09066358,-0.2512031,0.41228577,0.10805645,0.8690462
1.6481843333333472,1765050397.1506813,-0.052825738,1.5759207,-0.09034297,-0.24954613,0.41298717,0.10747291,0.8692628
1.6655361666666977,1765050397.1680331,-0.052550793,1.5762713,-0.09006738,-0.24815556,0.4136006,0.106875025,0.86944294
1.6820522500000266,1765050397.184549,-0.052349567,1.5765837,-0.089867026,-0.24679177,0.4141895,0.10629345,0.86962205
1.6988559166666732,1765050397.2013528,-0.052192688,1.576866,-0.08972224,-0.24545492,0.41483584,0.1058639,0.8697447
1.7162411666666912,1765050397.218738,-0.052060604,1.5770967,-0.08962208,-0.24423754,0.4154971,0.105564356,0.8698082
1.7338543333333405,1765050397.2363513,-0.051980592,1.5773001,-0.08958899,-0.2431221,0.41610438,0.105175756,0.8698774
1.7511060416666737,1765050397.253603,-0.051910877,1.57746,-0.08960749,-0.2422366,0.41658115,0.10456552,0.86996984
1.7678284583333266,1765050397.2703254,-0.05181103,1.5775672,-0.089651234,-0.2415814,0.4168903,0.10400084,0.87007165
