frame,t_mono,t_wall,timestamp,head_x,head_y,head_z,neck_x,neck_y,neck_z,upper_spine_x,upper_spine_y,upper_spine_z,mid_spine_x,mid_spine_y,mid_spine_z,lower_spine_x,lower_spine_y,lower_spine_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0,0.1326811666731373,1758062456.504028,0.0,0.040748112,0.24933393,0.086169094,0.04339453112015068,0.16225627103241752,0.07800038696853497,0.048687369360452044,-0.011899046902747429,0.06166297290560491,0.05398020760075341,-0.18605436483791238,0.04532555884267485,0.05927304584105477,-0.3602096827730773,0.028988144779744787,-0.16896731621832248,-0.020403351501084507,0.08180440157646904,0.2663420549392266,-0.0033947423044103503,0.04152154423474077,-0.2331563950757557,-0.31665372962084054,0.16748097725112948,0.41073119500704247,-0.28253779397709783,0.020168958130570847,-0.09380479,-0.2348906,-0.069350146,0.26767656,0.011324736,-0.063635826
1,0.1511848750014905,1758062456.5225315,0.016666666666666666,0.040799707,0.24927947,0.08605987,0.04343882070240147,0.16219782653470033,0.07793137381385162,0.04871704810720443,-0.011965460395899019,0.06167438144155486,0.05399527551200739,-0.18612874732649837,0.0454173890692581,0.05927350291681035,-0.3602920342570977,0.029160396696961344,-0.16894305924383743,-0.020437765568130734,0.08177065505139408,0.2663771554582463,-0.003493155223667303,0.041578107831715644,-0.2062024092232061,0.28458557074817237,0.012506630178546863,0.29441260193892577,0.30115121374449266,-0.03346069677377206,-0.11891656,0.6414169,-0.26770994,0.24028836,0.88771397,-0.22717431
2,0.1685598750045756,1758062456.5399067,0.03333333333333333,0.040846653,0.2492192,0.085955314,0.04347636712873332,0.16213390957049728,0.0778629228570616,0.04873579538619995,-0.012036671288508133,0.06167814057118481,0.05399522364366659,-0.18620725214751355,0.04549335828530801,0.05925465190113322,-0.36037783300651893,0.029308575999431215,-0.1689291996949194,-0.020473412020295567,0.0817364012674888,0.2664007904673193,-0.0035999305567207002,0.041619879874880826,-0.20628980871624222,0.2845338579508434,0.012456172065294188,0.29439519651516755,0.3011260962102972,-0.033102016787442394,-0.11894318,0.6413663,-0.26765347,0.24018298,0.88780385,-0.22719227
3,0.1858856250037206,1758062456.5572326,0.05,0.04089602,0.24915108,0.08584866,0.04351284117287216,0.16206173498719312,0.07779581999230718,0.04874648351861647,-0.012116955038420668,0.06169013997692156,0.05398012586436078,-0.18629564506403445,0.04558445996153594,0.05921376821010509,-0.3604743350896482,0.029478779946150325,-0.16892369346982639,-0.020508668958372257,0.08171102125886442,0.2664166605070593,-0.003725241118469079,0.04166925869497871,-0.2063998221951604,0.2844756054230073,0.012391960706765723,0.29435752582298663,0.3010816913435296,-0.032742043998253444,-0.11894523,0.6412484,-0.2675854,0.24006386,0.8878827,-0.22723924
4,0.2033019583395798,1758062456.5746489,0.06666666666666667,0.040935993,0.24908233,0.08573599,0.043545261857984296,0.16198862570264783,0.07772796978323392,0.048763799573952896,-0.012198782892056503,0.06171192934970175,0.053982337289921495,-0.18638619148676083,0.04569588891616959,0.059200875005890094,-0.36057360008146516,0.02967984848263743,-0.16891157972820925,-0.020557132865811723,0.08169016078734591,0.26643917887611507,-0.0038404329183012835,0.041733697912057596,-0.20644092955730745,0.2844175063676735,0.012357503793612334,0.29438012504032135,0.3010361231924659,-0.032391797442018505,-0.1189983,0.64127934,-0.26761726,0.2399996,0.88789177,-0.2273103
5,0.2206484583366545,1758062456.5919957,0.08333333333333333,0.00031572953,1.1253045,-0.10051311,0.0036815754670970775,1.0382062475130753,-0.10818223608135216,0.010413267341291232,0.8640097425392264,-0.12352048824405648,0.017144959215485388,0.6898132375653774,-0.1388587404067608,0.023876651089679544,0.5156167325915284,-0.15419699256946512,-0.20817439405614913,0.8556659413592228,-0.12469427130175866,0.22900092873873157,0.8723535437192299,-0.12234670518635431,-0.28162783346587,0.5596346753996475,-0.04598542927461606,0.3763581369458766,0.5939635235752891,-0.12548515602272314,-0.11905931,0.6413429,-0.26768878,0.23995693,0.8878579,-0.2274092
6,0.2376254583359696,1758062456.6089723,0.1,0.00035221502,1.1252342,-0.10063731,0.0037178590769485565,1.0381306228886993,-0.10824581146202467,0.01044914719084567,0.863923468666098,-0.12346281438607401,0.017180435304742784,0.6897163144434968,-0.13867981731012335,0.023911723418639896,0.5155091602208955,-0.1538968202341727,-0.2081383848447142,0.8555853670392044,-0.12469950345883354,0.22903667922640553,0.8722615702929917,-0.12222612531331448,-0.2818066243719641,0.5595991382534685,-0.046022042555765794,0.37677528767307433,0.5940670305403061,-0.12469627227924929,-0.11913025,0.64144063,-0.26779887,0.23993613,0.88777965,-0.22753552
7,0.2549527083392604,1758062456.6262996,0.11666666666666667,0.00039062276,1.1251572,-0.1007683,0.0037563126575445903,1.0380479118338666,-0.10831111424291287,0.01048769245263377,0.8638293355015997,-0.12339674272873861,0.01721907224772295,0.6896107591693328,-0.13848237121456436,0.023950452042812133,0.5153921828370659,-0.1535679997003901,-0.20809962707144053,0.8554973690122704,-0.12470997450605908,0.22907501197670804,0.872161301990929,-0.12208351095141814,-0.20712408538807234,1.1674872216422272,-0.08127749617058103,0.24846108137834483,1.1863910300292748,-0.1116499914061191,0.0005845055,1.1248453,-0.10099313,0.0005845055,1.1248453,-0.10099313
8,0.2727484583374462,1758062456.6440954,0.13333333333333333,0.00043141097,1.1250651,-0.10090603,0.0037951267855488146,1.0379493696342126,-0.1083749615666741,0.010522558416646444,0.8637179089026379,-0.1233128247000223,0.017249990047744072,0.6894864481710632,-0.13825068783337052,0.0239774216788417,0.5152549874394885,-0.15318855096671874,-0.20806469934867694,0.8553971923874708,-0.12470527552870339,0.22910981618196985,0.872038625417805,-0.12192037387134122,-0.28097325694758346,0.5654314346509852,-0.025562945673324997,0.36405756100879627,0.5874427924467012,-0.11752514672847923,-0.12125181,0.641853,-0.2653867,0.23918544,0.88580513,-0.2263725
9,0.2900841250011581,1758062456.661431,0.15,0.00047075003,1.1249583,-0.10104224,0.0038335734446903373,1.0378350378503243,-0.10842320274753482,0.010559220274071012,0.8635885135509729,-0.12318512824260444,0.017284867103451687,0.6893419892516215,-0.13794705373767407,0.02401051393283236,0.5150954649522701,-0.1527089792327437,-0.20802786137052723,0.8552753831416942,-0.12464872002177527,0.22914630191866928,0.8719016439602516,-0.12172153646343362,-0.2795542251610238,0.5653683374338663,-0.02433479211608061,0.35855738239957646,0.5847411031779326,-0.11764770947026497,-0.12113397,0.6415712,-0.26522893,0.23823373,0.88629204,-0.22621982
