t_mono,t_wall,anchorID,x,y,z,qx,qy,qz,qw
13.511077208335337,1758062469.882424,45BA687E-A905-D36F-8907-955048D86C97,-0.45847967,0.9135726,-0.73125607,0.2343223,0.33228675,-0.08684504,0.90947056
13.555348125002638,1758062469.926695,45BA687E-A905-D36F-8907-955048D86C97,-0.45857513,0.9135668,-0.73140013,0.2343223,0.33228675,-0.08684504,0.90947056
13.555486333338195,1758062469.9268334,45BA687E-A905-D36F-8907-955048D86C97,-0.45854205,0.91356856,-0.7313514,0.2343223,0.33228675,-0.08684504,0.90947056
13.56427225000516,1758062469.935619,45BA687E-A905-D36F-8907-955048D86C97,-0.45848343,0.9135717,-0.7312641,0.2343223,0.33228675,-0.08684504,0.90947056
13.597517750000407,1758062469.9688647,45BA687E-A905-D36F-8907-955048D86C97,-0.45846465,0.91357267,-0.73123616,0.2343223,0.33228675,-0.08684504,0.90947056
13.638091166671074,1758062470.009438,45BA687E-A905-D36F-8907-955048D86C97,-0.45874098,0.9135573,-0.7316509,0.2343223,0.33228675,-0.08684504,0.90947056
13.665359875005379,1758062470.036707,45BA687E-A905-D36F-8907-955048D86C97,-0.45882413,0.9135526,-0.73177564,0.2343223,0.33228675,-0.08684504,0.90947056
13.697444333338353,1758062470.0687914,45BA687E-A905-D36F-8907-955048D86C97,-0.45885912,0.9135507,-0.73182803,0.2343223,0.33228675,-0.08684504,0.90947056
13.730863833334297,1758062470.1022108,45BA687E-A905-D36F-8907-955048D86C97,-0.45886958,0.9135501,-0.73184377,0.2343223,0.33228675,-0.08684504,0.90947056
13.765328416666307,1758062470.1366754,45BA687E-A905-D36F-8907-955048D86C97,-0.4588727,0.91354996,-0.73184824,0.2343223,0.33228675,-0.08684504,0.90947056
13.797272125004383,1758062470.1686192,45BA687E-A905-D36F-8907-955048D86C97,-0.4589181,0.9135473,-0.7319161,0.2343223,0.33228675,-0.08684504,0.90947056
13.847969500006002,1758062470.2193165,45BA687E-A905-D36F-8907-955048D86C97,-0.45890948,0.9135215,-0.7319678,0.23409805,0.33220378,-0.08672398,0.90957016
13.864056416670792,1758062470.2354033,45BA687E-A905-D36F-8907-955048D86C97,-0.4586774,0.9134895,-0.7317305,0.23371425,0.33206183,-0.08651679,0.9097404
13.905402875003347,1758062470.2767498,45BA687E-A905-D36F-8907-955048D86C97,-0.45863345,0.9134338,-0.73180777,0.2332188,0.33187845,-0.08624933,0.90995985
13.932156916671374,1758062470.3035038,45BA687E-A905-D36F-8907-955048D86C97,-0.45808104,0.91339993,-0.7311395,0.23264746,0.33166686,-0.08594092,0.9102124
13.964985083337524,1758062470.336332,45BA687E-A905-D36F-8907-955048D86C97,-0.45787466,0.9133399,-0.7310074,0.23202705,0.33143693,-0.085606046,0.910486
13.997556791669922,1758062470.3689036,45BA687E-A905-D36F-8907-955048D86C97,-0.4578033,0.91326827,-0.731088,0.23137707,0.33119586,-0.085255235,0.910772
14.04101583333977,1758062470.4123628,45BA687E-A905-D36F-8907-955048D86C97,-0.45813566,0.91325533,-0.7315454,0.23188402,0.33087817,-0.085309155,0.9107535
14.06511179167137,1758062470.4364588,45BA687E-A905-D36F-8907-955048D86C97,-0.45829234,0.9132531,-0.7317398,0.23237234,0.33057198,-0.08536106,0.91073537
14.097268958335917,1758062470.468616,45BA687E-A905-D36F-8907-955048D86C97,-0.4583971,0.91325384,-0.7318572,0.23284166,0.3302775,-0.085410915,0.91071767
14.13202600000659,1758062470.503373,45BA687E-A905-D36F-8907-955048D86C97,-0.45846614,0.9132567,-0.7319237,0.23329243,0.32999456,-0.08545879,0.9107004
14.165350708339247,1758062470.5366976,45BA687E-A905-D36F-8907-955048D86C97,-0.4585361,0.91325915,-0.7319921,0.23372486,0.32972303,-0.08550471,0.9106836
14.197700041666394,1758062470.569047,45BA687E-A905-D36F-8907-955048D86C97,-0.45835045,0.91327816,-0.73168206,0.23413977,0.32946232,-0.08554876,0.9106672
14.241673791671928,1758062470.6130207,45BA687E-A905-D36F-8907-955048D86C97,-0.45841855,0.9132683,-0.73208475,0.23422344,0.32896972,-0.08539115,0.9108385
14.265676833339967,1758062470.6370237,45BA687E-A905-D36F-8907-955048D86C97,-0.45831355,0.9132699,-0.7322221,0.23430514,0.3284879,-0.08523701,0.91100585
14.297612583337468,1758062470.6689596,45BA687E-A905-D36F-8907-955048D86C97,-0.4581114,0.9132778,-0.7322072,0.23438482,0.32801795,-0.085086666,0.9111687
14.343689749999612,1758062470.7150366,45BA687E-A905-D36F-8907-955048D86C97,-0.45793793,0.91328406,-0.73222643,0.23446225,0.32756075,-0.08494041,0.9113269
14.365091750005377,1758062470.7364388,45BA687E-A905-D36F-8907-955048D86C97,-0.45768628,0.9132952,-0.7321225,0.23453736,0.32711655,-0.08479833,0.9114803
14.411596458339773,1758062470.7829435,45BA687E-A905-D36F-8907-955048D86C97,-0.45750305,0.9133023,-0.73211104,0.23461016,0.32668588,-0.084660575,0.91162884
14.457488166670373,1758062470.828835,45BA687E-A905-D36F-8907-955048D86C97,-0.45763257,0.9132898,-0.7325551,0.2346806,0.32626855,-0.08452708,0.91177255
14.464644458334078,1758062470.8359914,45BA687E-A905-D36F-8907-955048D86C97,-0.4575796,0.913289,-0.73272014,0.23474875,0.3258647,-0.08439791,0.91191137
14.502654708339833,1758062470.8740017,45BA687E-A905-D36F-8907-955048D86C97,-0.4574705,0.9132919,-0.73279387,0.23481458,0.32547405,-0.08427295,0.9120455
